Kode,Sumber,Bahaya
A2271,?,1
A2272,?,1
A2273,?,1
A2274,?,1
A2275,?,1
A2276,?,1
A2277,?,1
A2278,?,1
A2279,?,1
A2280,?,1
A2281,?,1
A2282,?,1
A2283,?,1
A2284,?,1
A2285,?,1
A2286,?,1
A2287,?,1
A2288,?,1
A2289,?,1
A2290,?,1
A2291,?,1
A2292,?,1
A2293,?,1
A2294,?,1
A2295,?,1
A2296,?,1
A2297,?,1
A2298,?,1
A2299,?,1
A2300,?,1
A2301,?,1
A2302,?,1
A2303,?,1
A2304,?,1
A2305,?,1
A2306,?,1
A2307,?,1
A2308,?,1
A2309,?,1
A2310,?,1
A2311,?,1
A2312,?,1
A2313,?,1
A2314,?,1
A2315,?,1
A2316,?,1
A2317,?,1
A2318,?,1
A2319,?,1
A2320,?,1
A2321,?,1
A2322,?,1
A2323,?,1
A2324,?,1
A2325,?,1
A2326,?,1
A2327,?,1
A2328,?,1
A2329,?,1
A2330,?,1
A2331,?,1
A2332,?,1
A2333,?,1
A2334,?,1
A2335,?,1
A2336,?,1
A2337,?,1
A2338,?,1
A2339,?,1
A2340,?,1
A2341,?,1
A2342,?,1
A2343,?,1
A2344,?,1
A2345,?,1
A2346,?,1
A2347,?,1
A2348,?,1
A2349,?,1
A2350,?,1
A2351,?,1
A2352,?,1
A2353,?,1
A2354,?,1
A2355,?,1
A2356,?,1
A2357,?,1
A2358,?,1
A2359,?,1
A2360,?,1
A2361,?,1
A2362,?,1
A2363,?,1
A2364,?,1
A2365,?,1
A2366,?,1
A2367,?,1
A2368,?,1
A2369,?,1
A2370,?,1
A2371,?,1
A2372,?,1
A2373,?,1
A2374,?,1
A2375,?,1
A2376,?,1
B301-1,Spesifik Umum,2
B301-2,Spesifik Umum,2
B301-3,Spesifik Umum,2
B301-4,Spesifik Umum,2
B301-5,Spesifik Umum,2
B301-6,Spesifik Umum,2
B301-7,Spesifik Umum,2
A302-1,Spesifik Umum,1
A302-2,Spesifik Umum,1
A302-3,Spesifik Umum,1
A302-4,Spesifik Umum,1
A302-5,Spesifik Umum,1
A302-6,Spesifik Umum,1
A302-7,Spesifik Umum,1
A302-8,Spesifik Umum,1
A302-9,Spesifik Umum,1
A302-10,Spesifik Umum,1
B302-1,Spesifik Umum,2
B302-2,Spesifik Umum,2
B302-3,Spesifik Umum,2
A303-1,Spesifik Umum,1
A303-2,Spesifik Umum,1
A303-3,Spesifik Umum,1
A303-4,Spesifik Umum,1
A303-5,Spesifik Umum,1
A303-6,Spesifik Umum,1
A304-1,Spesifik Umum,1
A304-2,Spesifik Umum,1
A304-3,Spesifik Umum,1
A304-4,Spesifik Umum,1
A304-5,Spesifik Umum,1
A304-6,Spesifik Umum,1
B304-1,Spesifik Umum,2
B304-2,Spesifik Umum,2
A305-1,Spesifik Umum,1
A305-2,Spesifik Umum,1
A305-3,Spesifik Umum,1
A305-4,Spesifik Umum,1
A305-5,Spesifik Umum,1
B305-1,Spesifik Umum,2
B305-2,Spesifik Umum,2
B305-3,Spesifik Umum,2
B305-4,Spesifik Umum,2
B305-5,Spesifik Umum,2
A306-1,Spesifik Umum,1
A306-2,Spesifik Umum,1
A306-3,Spesifik Umum,1
B306-1,Spesifik Umum,2
B306-2,Spesifik Umum,2
B306-3,Spesifik Umum,2
B306-4,Spesifik Umum,2
A307-1,Spesifik Umum,1
A307-2,Spesifik Umum,1
A307-3,Spesifik Umum,2
B307-1,Spesifik Umum,2
B307-2,Spesifik Umum,2
B307-3,Spesifik Umum,2
B307-4,Spesifik Umum,2
A308-1,Spesifik Umum,1
A308-2,Spesifik Umum,1
B308-1,Spesifik Umum,2
B308-2,Spesifik Umum,2
A309-1,Spesifik Umum,1
A309-2,Spesifik Umum,1
A309-3,Spesifik Umum,1
A309-4,Spesifik Umum,1
A309-5,Spesifik Umum,1
A309-6,Spesifik Umum,1
A309-7,Spesifik Umum,1
B309-1,Spesifik Umum,2
B309-2,Spesifik Umum,2
B309-3,Spesifik Umum,2
B309-4,Spesifik Umum,2
B309-5,Spesifik Umum,2
A310-1,Spesifik Umum,1
A310-2,Spesifik Umum,1
A310-3,Spesifik Umum,1
A310-4,Spesifik Umum,1
A310-5,Spesifik Umum,1
B310-1,Spesifik Umum,2
A311-1,Spesifik Umum,1
A311-2,Spesifik Umum,1
A311-3,Spesifik Umum,1
A311-4,Spesifik Umum,1
A311-5,Spesifik Umum,1
A311-6,Spesifik Umum,1
B311-1,Spesifik Umum,2
B311-2,Spesifik Umum,2
A312-1,Spesifik Umum,1
A312-2,Spesifik Umum,1
A312-3,Spesifik Umum,1
A312-4,Spesifik Umum,1
B312-1,Spesifik Umum,2
B312-2,Spesifik Umum,2
B312-3,Spesifik Umum,2
B312-4,Spesifik Umum,2
B312-5,Spesifik Umum,2
A313-1,Spesifik Umum,1
A313-2,Spesifik Umum,1
A313-3,Spesifik Umum,
A313-4,Spesifik Umum,1
B313-1,Spesifik Umum,2
B313-2,Spesifik Umum,2
B313-3,Spesifik Umum,2
B313-4,Spesifik Umum,2
B313-5,Spesifik Umum,2
B313-6,Spesifik Umum,2
B313-7,Spesifik Umum,2
B313-8,Spesifik Umum,2
A314-1,Spesifik Umum,1
A314-2,Spesifik Umum,1
A314-3,Spesifik Umum,1
B314-1,Spesifik Umum,2
B314-2,Spesifik Umum,2
B314-3,Spesifik Umum,2
B314-4,Spesifik Umum,2
B314-5,Spesifik Umum,2
A315-1,Spesifik Umum,1
