Kode Limbah,Bentuk,Karakter Limbah,Sumber,Bahaya,Kemasan
B108d,Cair,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A306-1,Padat,I,Spesifik Umum,1,Kemasan Karton atau plastik
B409,Padat,T,Spesifik Khusus,2,Tangki
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B324-3,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tangki
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A102d,Padat,C,Tidak Spesifik,1,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A107d,Cair,I,Tidak Spesifik,1,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
A102d,Padat,C,Tidak Spesifik,1,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B109d,Padat,T,Tidak Spesifik,2,Drum Logam
B110d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A323-2,Padat,T,Spesifik Umum,1,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
A338-1,Cair,T,Spesifik Umum,1,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Tangki
B104d,Padat,T,Tidak Spesifik,2,Drum Logam
A332-1,Cair,T,Spesifik Umum,1,Drum Logam
B327-2,Padat,T,Spesifik Umum,2,"Karung Kain, plastik, kertas"
B105d,Cair,I,Tidak Spesifik,2,Tangki
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A345-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Tanpa Kemasan
B309-4,Cair,T,Spesifik Umum,2,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,IBC Tank
B105d,Cair,I,Tidak Spesifik,2,Kemasan Karton atau plastik
B110d,Padat,I,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,I,Tidak Spesifik,2,Jumbo Bag
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,IBC Tank
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Padat,I,Tidak Spesifik,2,Drum Logam
B105d,Padat,I,Tidak Spesifik,2,IBC Tank
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Tangki
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
